DATE_DEBUT,DATE_FIN,PART_VARIABLE_HC_TTC
2012-07-23,2013-07-31,0.0964
2013-08-01,2014-10-31,0.1002
2014-11-01,2015-07-31,0.1057
2015-08-01,2016-07-31,0.1111
2016-08-01,2017-07-31,0.127
2017-08-01,2018-01-31,0.1252
2018-02-01,2018-07-31,0.1245
2018-08-01,2019-05-31,0.1228
2019-06-01,2019-07-31,0.1319
2019-08-01,2020-01-31,0.132
2020-02-01,2020-07-31,0.1337
2020-08-01,2021-01-31,0.1344
2021-02-01,2021-07-31,0.1353
2021-08-01,2022-01-31,0.136
2022-02-01,2022-07-31,0.147
2022-08-01,2023-01-31,0.147
2023-02-01,2023-07-31,0.1615
2023-08-01,2024-01-31,0.1828
2024-02-01,2025-01-31,0.2068
2025-02-01,2025-07-31,0.1696
2025-08-01,2026-01-31,0.1635
2026-02-01,,0.1578
