DATE_DEBUT,DATE_FIN,PART_VARIABLE_HC_TTC
23/07/2012,31/07/2013,0.0964 €
01/08/2013,31/10/2014,0.1002 €
01/11/2014,31/07/2015,0.1057 €
01/08/2015,31/07/2016,0.1111 €
01/08/2016,31/07/2017,0.1270 €
01/08/2017,31/01/2018,0.1252 €
01/02/2018,31/07/2018,0.1245 €
01/08/2018,31/05/2019,0.1228 €
01/06/2019,31/07/2019,0.1319 €
01/08/2019,31/01/2020,0.1320 €
01/02/2020,31/07/2020,0.1337 €
01/08/2020,31/01/2021,0.1344 €
01/02/2021,31/07/2021,0.1353 €
01/08/2021,31/01/2022,0.1360 €
01/02/2022,31/07/2022,0.1470 €
01/08/2022,31/01/2023,0.1470 €
01/02/2023,31/07/2023,0.1615 €
01/08/2023,31/01/2024,0.1828 €
01/02/2024,31/01/2025,0.2068 €
01/02/2025,31/07/2025,0.1696 €
01/08/2025,31/01/2026,0.1635 €
01/02/2026,,0.1578 €
